KEY,한국어,English (GB),Français,비고
app.title,Angel's Stitch,Angel's Stitch,Angel's Stitch,앱 이름 고정
app.description,사진을 십자수 도안으로 변환하고 디지털로 작업을 추적하세요,Convert photos into cross-stitch patterns and track your work digitally,Convertissez vos photos en grilles de broderie et suivez votre avancement,
nav.home,홈,Home,Accueil,하단 내비게이션
nav.create,만들기,Create,Créer,하단 내비게이션
nav.project,프로젝트,Projects,Projets,하단 내비게이션
home.recentProjects,최근 프로젝트,Recent Projects,Projets récents,
home.newPattern,새 도안 만들기,New Pattern,Nouveau motif,
home.emptyState,저장된 프로젝트가 없습니다,No saved projects,Aucun projet enregistré,
home.emptyHint,Create 탭에서 새 도안을 만들어보세요,Create a new pattern in the Create tab,Créez un nouveau motif dans l'onglet Créer,
upload.selectPhoto,사진을 선택하세요,Select a photo,Sélectionnez une photo,
upload.hint,갤러리에서 이미지를 불러옵니다,Load an image from your gallery,Chargez une image depuis votre galerie,
upload.reselect,← 다시 선택,← Change photo,← Changer de photo,
upload.next,다음,Next,Suivant,
crop.recrop,← 다시 자르기,← Re-crop,← Recadrer,
crop.generate,도안 생성하기,Generate Pattern,Générer le motif,
crop.gridSize,격자 크기,Grid size,Taille de la grille,슬라이더 레이블
crop.colorCount,색상 수,Colours,Couleurs,슬라이더 레이블
crop.gridOff,격자 끄기,Hide grid,Masquer la grille,
crop.gridOn,격자 켜기,Show grid,Afficher la grille,
crop.recalculating,재계산 중...,Recalculating…,Recalcul en cours…,
generating.text,도안을 생성하고 있습니다...,Generating pattern…,Génération du motif…,
done.grid,격자,Grid,Grille,통계 레이블
done.colors,색상,Colours,Couleurs,통계 레이블
done.totalStitches,총 스티치,Total Stitches,Points totaux,통계 레이블
done.threadInfo,사용된 실 정보 (DMC),Threads used (DMC),Fils utilisés (DMC),
done.projectName,프로젝트 이름,Project name,Nom du projet,입력 레이블
done.rename,이름 변경,Rename,Renommer,버튼
done.enterStitch,스티치 모드 입장,Enter Stitch Mode,Mode broderie,버튼 (primary)
done.downloadPdf,도안 PDF 다운로드,Download PDF,Télécharger le PDF,버튼 (secondary)
done.saving,저장 중...,Saving…,Enregistrement…,자동저장 중 placeholder
done.colorUnit,색,colours,couleurs,예: 15색 / 15 colours
done.skeinUnit,약 N타래,approx. N skeins,env. N pelotes,N은 숫자로 치환
done.stitchUnit,N st,N st,N pts,N은 숫자로 치환
done.autoProjectName,Project,Project,Projet,자동 이름 접두사 (Project 01 등)
detail.back,목록,Back,Retour,
detail.progress,진행률,Progress,Avancement,
detail.threadList,실 목록,Thread list,Liste des fils,
detail.projectName,프로젝트 이름,Project name,Nom du projet,
detail.rename,이름 변경,Rename,Renommer,
detail.enterStitch,스티치 모드 입장,Enter Stitch Mode,Mode broderie,
detail.downloadPdf,도안 PDF 다운로드,Download PDF,Télécharger le PDF,
detail.delete,프로젝트 삭제,Delete Project,Supprimer le projet,
detail.placeholder,나의 십자수 도안,My cross-stitch pattern,Mon motif de broderie,입력창 placeholder
detail.skeinUnit,N타래,N skeins,N pelotes,N은 숫자로 치환
detail.stitchUnit,N칸,N sts,N pts,N은 숫자로 치환
stitch.threadList,실 목록,Threads,Fils,스티치 모드 패널
stitch.threadHint,리스트를 선택하여 도안 하이라이트,Select to highlight on pattern,Sélectionner pour afficher sur le motif,
toast.imageError,이미지를 불러올 수 없습니다,Unable to load image,Impossible de charger l'image,
toast.generateError,도안 생성 중 오류가 발생했습니다,An error occurred whilst generating the pattern,Une erreur est survenue lors de la génération,
toast.saved,"저장되었습니다 ✓","Saved ✓","Enregistré ✓",프로젝트명 앞에 표시
toast.autoSaveFail,자동 저장 실패. 이름 입력 후 직접 저장해주세요.,Auto-save failed. Please enter a name and save manually.,Échec de la sauvegarde automatique. Veuillez saisir un nom et sauvegarder.,
toast.renamed,이름이 변경되었습니다 ✓,Name updated ✓,Nom modifié ✓,
toast.renameFail,이름 변경 실패,Failed to update name,Échec de la modification du nom,
toast.deleted,삭제되었습니다,Deleted,Supprimé,
toast.pdfDone,PDF 다운로드가 완료되었습니다,PDF downloaded successfully,PDF téléchargé avec succès,
toast.pdfError,PDF 생성 중 오류가 발생했습니다,An error occurred whilst generating the PDF,Une erreur est survenue lors de la génération du PDF,
toast.nameSaved,이름이 저장되었습니다 ✓,Name saved ✓,Nom enregistré ✓,
toast.detailError,상세 정보를 불러올 수 없습니다.,Unable to load project details.,Impossible de charger les détails du projet.,
toast.projectNotFound,프로젝트를 찾을 수 없습니다,Project not found,Projet introuvable,
toast.openError,프로젝트를 열 수 없습니다,Unable to open project,Impossible d'ouvrir le projet,
confirm.deleteMessage,"N을(를) 삭제하시겠습니까?","Delete N?","Supprimer N ?",N은 프로젝트명으로 치환
confirm.cancel,취소,Cancel,Annuler,
confirm.ok,확인,Confirm,Confirmer,
